college_name,city,state,stream,programs,annual_fees,avg_placement,highest_placement,eligibility,hostel,college_type,website
"St. Joseph's University Bengaluru","Bengaluru","Karnataka","Arts","B.A. Psychology|B.A. Economics|B.A. English|B.A. Journalism",150000,500000,1100000,"12th or equivalent","Yes","Private","https://www.sju.edu.in/"
"Mount Carmel College Bengaluru","Bengaluru","Karnataka","Science","B.Sc. Computer Science|B.Sc. Biotechnology|B.Sc. Psychology|BCA",120000,450000,1000000,"12th or equivalent","Yes","Private","https://mccblr.edu.in/"
"RV College of Engineering","Bengaluru","Karnataka","Science","B.E. Computer Science|B.E. Information Science|B.E. Electronics|B.E. Mechanical",300000,1200000,3000000,"12th Science with PCM + applicable entrance qualification","Yes","Private","https://rvce.edu.in/"
"National Institute of Fashion Technology Bengaluru","Bengaluru","Karnataka","Arts","B.Des Fashion Design|B.Des Textile Design|B.Des Fashion Communication",220000,650000,1600000,"12th or equivalent + NIFT admission requirements","Yes","Public","https://www.nift.ac.in/"
"Shri Ram College of Commerce","New Delhi","Delhi","Commerce","B.Com|B.A. Economics",30000,700000,2500000,"12th Commerce or equivalent + applicable admission requirements","No","Government","https://www.srcc.edu/"
"Hansraj College","New Delhi","Delhi","Science","B.Sc. Computer Science|B.Sc. Physics|B.Sc. Mathematics|B.A.",30000,500000,1200000,"12th or equivalent + applicable admission requirements","No","Government","https://www.hansrajcollege.ac.in/"
"Kirori Mal College","New Delhi","Delhi","Science","B.Sc. Computer Science|B.Sc. Mathematics|B.Sc. Physics|B.A.|B.Com",30000,450000,1000000,"12th or equivalent","No","Government","https://kmc.du.ac.in/"
"Shaheed Sukhdev College of Business Studies","New Delhi","Delhi","Commerce","BMS|BBA FIA|B.Sc. Computer Science",30000,600000,1800000,"12th or equivalent + applicable admission requirements","No","Government","https://sscbs.du.ac.in/"
"Jesus and Mary College","New Delhi","Delhi","Commerce","B.Com|B.A. Economics|B.A. Psychology|B.A.",35000,450000,1000000,"12th or equivalent","No","Government","https://www.jmc.ac.in/"
"St. Xavier's College Kolkata","Kolkata","West Bengal","Commerce","B.Com|BMS|B.A. Economics|B.Sc. Computer Science",70000,500000,1200000,"12th or equivalent","Yes","Private","https://www.sxccal.edu/"
"Goenka College of Commerce and Business Administration","Kolkata","West Bengal","Commerce","B.Com",30000,450000,1000000,"12th Commerce or equivalent","No","Government","https://goenkacollege.net/"
"Scottish Church College","Kolkata","West Bengal","Arts","B.A.|B.Sc.|B.Com",40000,400000,900000,"12th or equivalent","No","Private","https://www.scottishchurch.ac.in/"
"Maulana Azad College","Kolkata","West Bengal","Science","B.Sc. Computer Science|B.Sc. Mathematics|B.Sc. Physics|B.A.|B.Com",30000,400000,900000,"12th or equivalent","No","Government","https://www.maulanaazadcollegekolkata.ac.in/"
"Bhawanipur Education Society College","Kolkata","West Bengal","Commerce","B.Com|BBA|B.A.|B.Sc.",70000,400000,900000,"12th or equivalent","No","Private","https://www.thebges.edu.in/"
"Auxilium College Vellore","Vellore","Tamil Nadu","Arts","B.A. English|B.A. Economics|B.Com|BBA",50000,300000,700000,"12th or equivalent","Yes","Private","https://auxiliumcollege.edu.in/"
"Muthurangam Government Arts College","Vellore","Tamil Nadu","Commerce","B.Com|BBA|B.A.|B.Sc.",15000,250000,600000,"12th or equivalent","No","Government","https://www.mgac.edu.in/"
"Voorhees College","Vellore","Tamil Nadu","Science","B.Sc. Computer Science|B.Sc. Mathematics|B.Com|B.A.",40000,300000,700000,"12th or equivalent","No","Private","https://voorheescollege.edu.in/"
"Rashtrasant Tukadoji Maharaj Nagpur University","Nagpur","Maharashtra","Commerce","B.Com|BBA|BCA|B.A.|B.Sc.",50000,400000,900000,"12th or equivalent","Yes","Government","https://nagpuruniversity.ac.in/"
"Shri Ramdeobaba College of Engineering and Management","Nagpur","Maharashtra","Science","B.Tech CSE|B.Tech AI and Data Science|B.Tech ECE|B.Tech Mechanical",220000,800000,2000000,"12th Science with PCM + applicable entrance qualification","Yes","Private","https://www.rknec.edu/"
"Yeshwantrao Chavan College of Engineering","Nagpur","Maharashtra","Science","B.Tech CSE|B.Tech IT|B.Tech AI and Data Science|B.Tech ECE",180000,700000,1800000,"12th Science with PCM + MHT-CET/JEE qualification","Yes","Private","https://ycce.edu/"
"Hislop College","Nagpur","Maharashtra","Arts","B.A.|B.Com|B.Sc.|BCA",50000,350000,800000,"12th or equivalent","No","Private","https://hislopcollege.ac.in/"
"Manipal University Jaipur","Manipal","Karnataka","Commerce","B.Com|BBA|BCA|B.Sc. Economics",180000,500000,1200000,"12th or equivalent","Yes","Private","https://manipal.edu/"
"Manipal College of Health Professions","Manipal","Karnataka","Science","B.Sc. Medical Imaging Technology|B.Sc. Medical Laboratory Technology|B.Sc. Respiratory Therapy",180000,400000,900000,"12th Science with applicable eligibility","Yes","Private","https://manipal.edu/mchp.html"
"Loyola College Chennai","Chennai","Tamil Nadu","Commerce","B.Com|BBA|B.A. Economics|B.Sc. Computer Science",70000,500000,1200000,"12th or equivalent","Yes","Private","https://www.loyolacollege.edu/"
"Madras Christian College","Chennai","Tamil Nadu","Arts","B.A.|B.Com|B.Sc. Computer Science|BCA",70000,450000,1000000,"12th or equivalent","Yes","Private","https://mcc.edu.in/"
"SSN College of Engineering","Chennai","Tamil Nadu","Science","B.E. CSE|B.E. ECE|B.E. Mechanical|B.E. Electrical",250000,900000,2500000,"12th Science with PCM + applicable entrance qualification","Yes","Private","https://www.ssn.edu.in/"
"SRM Institute of Science and Technology","Chennai","Tamil Nadu","Science","B.Tech CSE|B.Tech AI and ML|B.Tech ECE|B.Tech Biotechnology",250000,750000,2000000,"12th Science with PCM/PCB + applicable entrance qualification","Yes","Private","https://www.srmist.edu.in/"
"Osmania University","Hyderabad","Telangana","Commerce","B.Com|BBA|B.A.|B.Sc.",50000,400000,900000,"12th or equivalent","Yes","Government","https://www.osmania.ac.in/"
"University of Hyderabad","Hyderabad","Telangana","Science","B.Sc. Integrated Sciences|B.A. Humanities-related programs",50000,400000,1000000,"12th or equivalent + applicable admission requirements","Yes","Government","https://uohyd.ac.in/"
"Chaitanya Bharathi Institute of Technology","Hyderabad","Telangana","Science","B.Tech CSE|B.Tech IT|B.Tech AI and ML|B.Tech ECE",180000,750000,2000000,"12th Science with PCM + applicable entrance qualification","Yes","Private","https://www.cbit.ac.in/"
"Vasavi College of Engineering","Hyderabad","Telangana","Science","B.Tech CSE|B.Tech AI and Data Science|B.Tech ECE|B.Tech Mechanical",150000,650000,1800000,"12th Science with PCM + applicable entrance qualification","Yes","Private","https://www.vce.ac.in/"
"Devi Ahilya Vishwavidyalaya","Indore","Madhya Pradesh","Commerce","B.Com|BBA|BCA|B.A.|B.Sc.",50000,400000,900000,"12th or equivalent","Yes","Government","https://www.dauniv.ac.in/"
"Holkar Science College","Indore","Madhya Pradesh","Science","B.Sc. Computer Science|B.Sc. Mathematics|B.Sc. Physics|B.Sc. Chemistry",30000,300000,700000,"12th Science or equivalent","No","Government","https://collegeholkar.org/"
"Institute of Engineering and Technology DAVV","Indore","Madhya Pradesh","Science","B.Tech CSE|B.Tech IT|B.Tech ECE|B.Tech Mechanical",120000,600000,1500000,"12th Science with PCM + applicable entrance qualification","Yes","Government","https://www.ietdavv.edu.in/"
"University of Rajasthan","Jaipur","Rajasthan","Arts","B.A.|B.Com|B.Sc.|BCA",40000,350000,800000,"12th or equivalent","Yes","Government","https://www.uniraj.ac.in/"
"Malaviya National Institute of Technology Jaipur","Jaipur","Rajasthan","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical|B.Tech Civil",150000,1100000,3000000,"12th Science with PCM + JEE Main qualification","Yes","Government","https://www.mnit.ac.in/"
"Manipal University Jaipur","Jaipur","Rajasthan","Commerce","B.Com|BBA|BCA|B.Sc. Economics",180000,500000,1200000,"12th or equivalent","Yes","Private","https://jaipur.manipal.edu/"
"Punjabi University","Patiala","Punjab","Arts","B.A.|B.Com|B.Sc.|BCA|BBA",50000,350000,800000,"12th or equivalent","Yes","Government","https://pup.ac.in/"
"Government College for Girls Patiala","Patiala","Punjab","Arts","B.A.|B.Com|B.Sc.|BCA",30000,300000,700000,"12th or equivalent","Yes","Government","https://gcgpatiala.ac.in/"
"Thapar Institute of Engineering and Technology","Patiala","Punjab","Science","B.E. CSE|B.E. ECE|B.E. Mechanical|B.E. Electrical",350000,1000000,3000000,"12th Science with PCM + applicable entrance qualification","Yes","Private","https://www.thapar.edu/"
"Chandigarh University","Mohali","Punjab","Science","B.E. CSE|B.E. AI and ML|B.E. ECE|B.E. Mechanical",220000,700000,1800000,"12th Science with PCM + applicable entrance qualification","Yes","Private","https://www.cuchd.in/"
"Indian School of Business University Mohali","Mohali","Punjab","Commerce","BBA|Business-related undergraduate programs",250000,600000,1500000,"12th or equivalent + program-specific eligibility","Yes","Private","https://www.isb.edu/"
"Utkal University","Bhubaneswar","Odisha","Arts","B.A.|B.Com|B.Sc.|BCA",50000,350000,800000,"12th or equivalent","Yes","Government","https://utkaluniversity.ac.in/"
"KIIT University","Bhubaneswar","Odisha","Science","B.Tech CSE|B.Tech AI and ML|B.Tech ECE|B.Tech Mechanical",250000,900000,2500000,"12th Science with PCM + KIITEE/JEE qualification","Yes","Private","https://kiit.ac.in/"
"Ravenshaw University","Bhubaneswar","Odisha","Arts","B.A.|B.Com|B.Sc.|BCA",40000,400000,900000,"12th or equivalent","Yes","Government","https://www.ravenshawuniversity.ac.in/"
"Ranchi University","Ranchi","Jharkhand","Arts","B.A.|B.Com|B.Sc.|BCA",40000,300000,700000,"12th or equivalent","Yes","Government","https://www.ranchiuniversity.ac.in/"
"St. Xavier's College Ranchi","Ranchi","Jharkhand","Commerce","B.Com|BBA|BCA|B.A.|B.Sc.",60000,350000,800000,"12th or equivalent","Yes","Private","https://sxcran.ac.in/"
"Birla Institute of Technology Mesra","Ranchi","Jharkhand","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical|B.Tech Biotechnology",250000,800000,2200000,"12th Science with PCM/PCB + applicable entrance qualification","Yes","Private","https://www.bitmesra.ac.in/"
"University College Thiruvananthapuram","Thiruvananthapuram","Kerala","Arts","B.A.|B.Sc.|B.Com",30000,300000,700000,"12th or equivalent","No","Government","https://universitycollege.ac.in/"
"Government College for Women Thiruvananthapuram","Thiruvananthapuram","Kerala","Commerce","B.Com|B.A.|B.Sc.",30000,300000,700000,"12th or equivalent","No","Government","https://gcwtvm.ac.in/"
"College of Engineering Trivandrum","Thiruvananthapuram","Kerala","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical|B.Tech Civil",100000,700000,1800000,"12th Science with PCM + applicable entrance qualification","Yes","Government","https://www.cet.ac.in/"
"Walchand College of Engineering","Sangli","Maharashtra","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical|B.Tech Civil",120000,750000,1800000,"12th Science with PCM + MHT-CET/JEE qualification","Yes","Government","https://www.walchandsangli.ac.in/"
"WillIngdon College Sangli","Sangli","Maharashtra","Arts","B.A.|B.Com|B.Sc.",40000,300000,700000,"12th or equivalent","No","Private","https://www.willingdoncollege.org/"
"Amravati University","Amravati","Maharashtra","Arts","B.A.|B.Com|B.Sc.|BCA|BBA",40000,300000,700000,"12th or equivalent","Yes","Government","https://www.sgbau.ac.in/"
"Government College of Engineering Amravati","Amravati","Maharashtra","Science","B.Tech CSE|B.Tech ECE|B.Tech Mechanical|B.Tech Civil",100000,600000,1500000,"12th Science with PCM + MHT-CET/JEE qualification","Yes","Government","https://www.gcoea.ac.in/"
"University of Delhi Faculty of Law","New Delhi","Delhi","Arts","B.A. LL.B. (Hons.)|B.B.A. LL.B. (Hons.)",30000,600000,1800000,"12th or equivalent + CLAT qualification and applicable admission requirements","No","Government","https://law.uod.ac.in/"
"University School of Law and Legal Studies GGSIPU","New Delhi","Delhi","Arts","B.A. LL.B.|B.B.A. LL.B.",90000,500000,1200000,"12th or equivalent + applicable law admission requirements","Yes","Government","https://ipu.ac.in/"
